fase,imagem,akurasi
treino,1,0.0
treino,2,0.0
treino,3,0.0
treino,4,0.0
treino,5,0.0
treino,6,0.16666666666666666
treino,7,0.14285714285714285
treino,8,0.125
treino,9,0.1111111111111111
treino,10,0.1
treino,11,0.09090909090909091
treino,12,0.16666666666666666
treino,13,0.15384615384615385
treino,14,0.14285714285714285
treino,15,0.13333333333333333
treino,16,0.125
treino,17,0.11764705882352941
treino,18,0.1111111111111111
treino,19,0.10526315789473684
treino,20,0.1
treino,21,0.09523809523809523
treino,22,0.09090909090909091
treino,23,0.08695652173913043
treino,24,0.08333333333333333
treino,25,0.08
treino,26,0.07692307692307693
treino,27,0.07407407407407407
treino,28,0.10714285714285714
treino,29,0.10344827586206896
treino,30,0.1
treino,31,0.0967741935483871
treino,32,0.09375
treino,33,0.12121212121212122
treino,34,0.11764705882352941
treino,35,0.14285714285714285
treino,36,0.1388888888888889
treino,37,0.13513513513513514
treino,38,0.13157894736842105
treino,39,0.1282051282051282
treino,40,0.125
treino,41,0.12195121951219512
treino,42,0.11904761904761904
treino,43,0.11627906976744186
treino,44,0.11363636363636363
treino,45,0.1111111111111111
treino,46,0.10869565217391304
treino,47,0.10638297872340426
treino,48,0.10416666666666667
treino,49,0.10204081632653061
treino,50,0.1
treino,51,0.11764705882352941
treino,52,0.11538461538461539
treino,53,0.11320754716981132
treino,54,0.1111111111111111
treino,55,0.10909090909090909
treino,56,0.125
treino,57,0.12280701754385964
treino,58,0.1206896551724138
treino,59,0.11864406779661017
treino,60,0.11666666666666667
treino,61,0.11475409836065574
treino,62,0.11290322580645161
treino,63,0.1111111111111111
treino,64,0.109375
treino,65,0.12307692307692308
treino,66,0.12121212121212122
treino,67,0.11940298507462686
treino,68,0.11764705882352941
treino,69,0.11594202898550725
treino,70,0.11428571428571428
treino,71,0.11267605633802817
treino,72,0.1111111111111111
treino,73,0.1095890410958904
treino,74,0.10810810810810811
treino,75,0.10666666666666667
treino,76,0.10526315789473684
treino,77,0.11688311688311688
treino,78,0.11538461538461539
treino,79,0.11392405063291139
treino,80,0.1125
treino,81,0.1111111111111111
treino,82,0.12195121951219512
treino,83,0.13253012048192772
treino,84,0.13095238095238096
treino,85,0.12941176470588237
treino,86,0.12790697674418605
treino,87,0.12643678160919541
treino,88,0.13636363636363635
treino,89,0.1348314606741573
treino,90,0.13333333333333333
treino,91,0.14285714285714285
treino,92,0.15217391304347827
treino,93,0.15053763440860216
treino,94,0.14893617021276595
treino,95,0.14736842105263157
treino,96,0.14583333333333334
treino,97,0.15463917525773196
treino,98,0.16326530612244897
treino,99,0.16161616161616163
treino,100,0.16
treino,101,0.15841584158415842
treino,102,0.16666666666666666
treino,103,0.1650485436893204
treino,104,0.16346153846153846
treino,105,0.1619047619047619
treino,106,0.16037735849056603
treino,107,0.1588785046728972
treino,108,0.16666666666666666
treino,109,0.1743119266055046
treino,110,0.17272727272727273
treino,111,0.18018018018018017
treino,112,0.17857142857142858
treino,113,0.18584070796460178
treino,114,0.18421052631578946
treino,115,0.19130434782608696
treino,116,0.1896551724137931
treino,117,0.19658119658119658
treino,118,0.19491525423728814
treino,119,0.19327731092436976
treino,120,0.19166666666666668
treino,121,0.19008264462809918
treino,122,0.1885245901639344
treino,123,0.1951219512195122
treino,124,0.20161290322580644
treino,125,0.2
